452,130,56,157,145
452,191,1,33,33
453,537,70,102,228
453,131,54,157,143
453,192,1,32,35
454,540,72,99,226
454,130,54,158,139
454,191,1,34,29
455,542,74,97,221
455,131,51,158,137
455,192,1,33,34
456,545,75,94,225
456,130,48,160,136
456,128,47,14,15
456,192,1,32,32
457,548,77,91,224
457,131,45,161,135
457,192,1,33,31
458,551,102,88,202
458,132,42,161,137
458,129,42,15,22
458,192,1,33,28
459,554,103,85,203
459,131,66,25,52
459,160,42,135,134
459,193,1,33,27
460,557,106,82,204
460,140,94,18,24
460,133,69,15,21
460,162,41,135,129
460,192,1,34,29
461,561,107,78,207
461,141,92,15,24
461,132,68,17,24
461,165,39,132,127
461,191,1,35,30
462,565,104,74,210
462,144,93,13,23
462,134,67,15,24
462,167,37,130,126
462,191,1,35,29
463,143,91,14,25
463,569,89,70,230
463,133,66,16,24
463,169,37,126,123
463,190,1,35,31
464,145,93,13,22
464,573,90,66,231
464,134,66,17,22
464,172,1,122,156
465,142,96,17,19
465,577,91,62,232
465,135,66,16,23
465,174,1,121,152
466,581,94,58,230
466,135,66,18,24
466,176,1,119,150
467,585,119,54,210
467,144,100,17,15
467,607,97,23,15
467,135,68,18,22
467,178,1,119,147
468,590,100,49,231
468,145,98,18,17
468,136,64,18,25
468,179,30,118,115
468,187,1,40,28
469,594,103,45,232
469,145,101,18,13
469,136,67,19,20
469,134,40,15,18
469,181,1,117,142
470,599,105,40,234
470,142,95,22,18
470,136,69,18,19
470,136,38,13,18
470,182,1,116,140
471,603,105,36,233
471,141,92,23,21
471,137,68,17,18
471,136,38,15,20
471,185,1,112,138
472,609,106,30,235
472,137,69,28,45
472,138,42,14,17
472,187,1,110,135
473,614,136,25,206
473,139,69,25,44
473,187,1,108,133
474,619,142,20,188
474,139,69,25,43
474,188,1,106,131
475,624,149,15,92
475,140,69,25,43
475,192,1,102,128
476,630,160,9,62
476,140,70,25,41
476,192,1,104,124
477,140,68,22,42
477,194,1,103,121
478,141,70,25,41
478,193,1,105,118
479,142,70,22,41
479,194,1,104,117
480,141,70,24,40
480,194,1,104,115
481,141,70,23,39
481,193,1,105,114
482,146,88,19,22
482,141,69,14,18
482,138,37,13,18
482,193,1,104,112
483,141,67,23,42
483,137,37,14,18
483,195,1,101,109
484,140,67,25,42
484,194,1,101,107
485,146,90,19,19
485,141,66,13,16
485,193,1,103,105
486,147,90,21,20
486,141,67,15,18
486,193,1,104,103
487,147,90,18,18
487,141,66,15,18
487,194,1,104,102
488,151,86,15,23
488,142,66,14,16
488,193,1,107,100
489,150,89,18,20
489,143,65,14,17
489,193,1,109,97
490,147,89,20,19
490,143,67,15,16
490,193,1,110,95
491,150,90,19,18
491,144,66,15,18
491,141,35,15,23
491,193,1,111,93
492,150,91,19,17
492,144,65,16,19
492,195,1,111,91
493,152,93,19,14
493,145,62,14,20
493,195,1,111,89
494,1,300,28,160
494,150,90,20,17
494,146,63,15,21
494,195,1,111,88
495,1,248,32,183
495,150,90,21,17
495,145,64,16,19
495,194,1,112,87
496,1,236,35,194
496,150,89,21,17
496,146,63,15,20
496,193,1,114,86
497,1,220,40,212
497,147,63,25,44
497,195,1,110,83
498,1,208,42,222
498,149,65,22,41
498,194,1,113,82
499,1,200,50,231
499,147,63,26,42
499,194,1,111,80
500,1,167,55,260
